levtiades_index,source_atlas,original_index,region_name,voxel_count,original_roi_file
72,Destrieux,13,L_G_front_inf-Orbital,195,destrieux_013_L_G_front_inf-Orbital.nii.gz
73,Destrieux,14,L_G_front_inf-Triangul,432,destrieux_014_L_G_front_inf-Triangul.nii.gz
74,Destrieux,15,L_G_front_middle,1791,destrieux_015_L_G_front_middle.nii.gz
75,Destrieux,16,L_G_front_sup,3777,destrieux_016_L_G_front_sup.nii.gz
76,Destrieux,17,L_G_Ins_lg_and_S_cent_ins,319,destrieux_017_L_G_Ins_lg_and_S_cent_ins.nii.gz
77,Destrieux,18,L_G_insular_short,457,destrieux_018_L_G_insular_short.nii.gz
78,Destrieux,19,L_G_occipital_middle,834,destrieux_019_L_G_occipital_middle.nii.gz
79,Destrieux,20,L_G_occipital_sup,522,destrieux_020_L_G_occipital_sup.nii.gz
80,Destrieux,21,L_G_oc-temp_lat-fusifor,911,destrieux_021_L_G_oc-temp_lat-fusifor.nii.gz
81,Destrieux,22,L_G_oc-temp_med-Lingual,1073,destrieux_022_L_G_oc-temp_med-Lingual.nii.gz
82,Destrieux,23,L_G_oc-temp_med-Parahip,1021,destrieux_023_L_G_oc-temp_med-Parahip.nii.gz
83,Destrieux,24,L_G_orbital,1312,destrieux_024_L_G_orbital.nii.gz
84,Destrieux,25,L_G_pariet_inf-Angular,1065,destrieux_025_L_G_pariet_inf-Angular.nii.gz
85,Destrieux,26,L_G_pariet_inf-Supramar,1218,destrieux_026_L_G_pariet_inf-Supramar.nii.gz
86,Destrieux,27,L_G_parietal_sup,1168,destrieux_027_L_G_parietal_sup.nii.gz
87,Destrieux,28,L_G_postcentral,1138,destrieux_028_L_G_postcentral.nii.gz
88,Destrieux,29,L_G_precentral,1636,destrieux_029_L_G_precentral.nii.gz
89,Destrieux,30,L_G_precuneus,1097,destrieux_030_L_G_precuneus.nii.gz
90,Destrieux,31,L_G_rectus,673,destrieux_031_L_G_rectus.nii.gz
91,Destrieux,32,L_G_subcallosal,82,destrieux_032_L_G_subcallosal.nii.gz
92,Destrieux,33,L_G_temp_sup-G_T_transv,296,destrieux_033_L_G_temp_sup-G_T_transv.nii.gz
93,Destrieux,34,L_G_temp_sup-Lateral,1383,destrieux_034_L_G_temp_sup-Lateral.nii.gz
94,Destrieux,35,L_G_temp_sup-Plan_polar,325,destrieux_035_L_G_temp_sup-Plan_polar.nii.gz
95,Destrieux,36,L_G_temp_sup-Plan_tempo,427,destrieux_036_L_G_temp_sup-Plan_tempo.nii.gz
96,Destrieux,37,L_G_temporal_inf,1244,destrieux_037_L_G_temporal_inf.nii.gz
97,Destrieux,38,L_G_temporal_middle,1460,destrieux_038_L_G_temporal_middle.nii.gz
98,Destrieux,39,L_Lat_Fis-ant-Horizont,70,destrieux_039_L_Lat_Fis-ant-Horizont.nii.gz
99,Destrieux,40,L_Lat_Fis-ant-Vertical,111,destrieux_040_L_Lat_Fis-ant-Vertical.nii.gz
100,Destrieux,41,L_Lat_Fis-post,389,destrieux_041_L_Lat_Fis-post.nii.gz
101,Destrieux,43,L_Pole_occipital,788,destrieux_043_L_Pole_occipital.nii.gz
102,Destrieux,44,L_Pole_temporal,940,destrieux_044_L_Pole_temporal.nii.gz
103,Destrieux,45,L_S_calcarine,677,destrieux_045_L_S_calcarine.nii.gz
104,Destrieux,46,L_S_central,1070,destrieux_046_L_S_central.nii.gz
105,Destrieux,47,L_S_cingul-Marginalis,396,destrieux_047_L_S_cingul-Marginalis.nii.gz
106,Destrieux,48,L_S_circular_insula_ant,197,destrieux_048_L_S_circular_insula_ant.nii.gz
107,Destrieux,49,L_S_circular_insula_inf,652,destrieux_049_L_S_circular_insula_inf.nii.gz
108,Destrieux,50,L_S_circular_insula_sup,602,destrieux_050_L_S_circular_insula_sup.nii.gz
109,Destrieux,51,L_S_collat_transv_ant,270,destrieux_051_L_S_collat_transv_ant.nii.gz
110,Destrieux,52,L_S_collat_transv_post,69,destrieux_052_L_S_collat_transv_post.nii.gz
111,Destrieux,53,L_S_front_inf,496,destrieux_053_L_S_front_inf.nii.gz
112,Destrieux,54,L_S_front_middle,349,destrieux_054_L_S_front_middle.nii.gz
113,Destrieux,55,L_S_front_sup,711,destrieux_055_L_S_front_sup.nii.gz
114,Destrieux,56,L_S_interm_prim-Jensen,53,destrieux_056_L_S_interm_prim-Jensen.nii.gz
115,Destrieux,57,L_S_intrapariet_and_P_trans,780,destrieux_057_L_S_intrapariet_and_P_trans.nii.gz
116,Destrieux,58,L_S_oc_middle_and_Lunatus,211,destrieux_058_L_S_oc_middle_and_Lunatus.nii.gz
117,Destrieux,59,L_S_oc_sup_and_transversal,299,destrieux_059_L_S_oc_sup_and_transversal.nii.gz
118,Destrieux,60,L_S_occipital_ant,149,destrieux_060_L_S_occipital_ant.nii.gz
119,Destrieux,61,L_S_oc-temp_lat,199,destrieux_061_L_S_oc-temp_lat.nii.gz
120,Destrieux,62,L_S_oc-temp_med_and_Lingual,536,destrieux_062_L_S_oc-temp_med_and_Lingual.nii.gz
121,Destrieux,63,L_S_orbital_lateral,86,destrieux_063_L_S_orbital_lateral.nii.gz
122,Destrieux,64,L_S_orbital_med-olfact,177,destrieux_064_L_S_orbital_med-olfact.nii.gz
123,Destrieux,65,L_S_orbital-H_Shaped,333,destrieux_065_L_S_orbital-H_Shaped.nii.gz
124,Destrieux,66,L_S_parieto_occipital,532,destrieux_066_L_S_parieto_occipital.nii.gz
125,Destrieux,67,L_S_pericallosal,426,destrieux_067_L_S_pericallosal.nii.gz
126,Destrieux,68,L_S_postcentral,739,destrieux_068_L_S_postcentral.nii.gz
127,Destrieux,69,L_S_precentral-inf-part,434,destrieux_069_L_S_precentral-inf-part.nii.gz
128,Destrieux,70,L_S_precentral-sup-part,404,destrieux_070_L_S_precentral-sup-part.nii.gz
129,Destrieux,71,L_S_suborbital,245,destrieux_071_L_S_suborbital.nii.gz
130,Destrieux,72,L_S_subparietal,306,destrieux_072_L_S_subparietal.nii.gz
131,Destrieux,73,L_S_temporal_inf,238,destrieux_073_L_S_temporal_inf.nii.gz
132,Destrieux,74,L_S_temporal_sup,1339,destrieux_074_L_S_temporal_sup.nii.gz
133,Destrieux,75,L_S_temporal_transverse,108,destrieux_075_L_S_temporal_transverse.nii.gz
134,Destrieux,76,R_G_and_S_frontomargin,435,destrieux_076_R_G_and_S_frontomargin.nii.gz
135,Destrieux,77,R_G_and_S_occipital_inf,584,destrieux_077_R_G_and_S_occipital_inf.nii.gz
136,Destrieux,78,R_G_and_S_paracentral,732,destrieux_078_R_G_and_S_paracentral.nii.gz
137,Destrieux,79,R_G_and_S_subcentral,617,destrieux_079_R_G_and_S_subcentral.nii.gz
138,Destrieux,80,R_G_and_S_transv_frontopol,508,destrieux_080_R_G_and_S_transv_frontopol.nii.gz
