old_index,new_index,source,region_name
278,136,Destrieux,"(78, 'R G_and_S_paracentral')"
279,137,Destrieux,"(79, 'R G_and_S_subcentral')"
280,138,Destrieux,"(80, 'R G_and_S_transv_frontopol')"
281,139,Destrieux,"(81, 'R G_and_S_cingul-Ant')"
282,140,Destrieux,"(82, 'R G_and_S_cingul-Mid-Ant')"
283,141,Destrieux,"(83, 'R G_and_S_cingul-Mid-Post')"
284,142,Destrieux,"(84, 'R G_cingul-Post-dorsal')"
285,143,Destrieux,"(85, 'R G_cingul-Post-ventral')"
286,144,Destrieux,"(86, 'R G_cuneus')"
287,145,Destrieux,"(87, 'R G_front_inf-Opercular')"
288,146,Destrieux,"(88, 'R G_front_inf-Orbital')"
289,147,Destrieux,"(89, 'R G_front_inf-Triangul')"
290,148,Destrieux,"(90, 'R G_front_middle')"
291,149,Destrieux,"(91, 'R G_front_sup')"
292,150,Destrieux,"(92, 'R G_Ins_lg_and_S_cent_ins')"
293,151,Destrieux,"(93, 'R G_insular_short')"
294,152,Destrieux,"(94, 'R G_occipital_middle')"
295,153,Destrieux,"(95, 'R G_occipital_sup')"
296,154,Destrieux,"(96, 'R G_oc-temp_lat-fusifor')"
297,155,Destrieux,"(97, 'R G_oc-temp_med-Lingual')"
298,156,Destrieux,"(98, 'R G_oc-temp_med-Parahip')"
299,157,Destrieux,"(99, 'R G_orbital')"
300,158,Destrieux,"(100, 'R G_pariet_inf-Angular')"
301,159,Destrieux,"(101, 'R G_pariet_inf-Supramar')"
302,160,Destrieux,"(102, 'R G_parietal_sup')"
303,161,Destrieux,"(103, 'R G_postcentral')"
304,162,Destrieux,"(104, 'R G_precentral')"
305,163,Destrieux,"(105, 'R G_precuneus')"
306,164,Destrieux,"(106, 'R G_rectus')"
307,165,Destrieux,"(107, 'R G_subcallosal')"
308,166,Destrieux,"(108, 'R G_temp_sup-G_T_transv')"
309,167,Destrieux,"(109, 'R G_temp_sup-Lateral')"
310,168,Destrieux,"(110, 'R G_temp_sup-Plan_polar')"
311,169,Destrieux,"(111, 'R G_temp_sup-Plan_tempo')"
312,170,Destrieux,"(112, 'R G_temporal_inf')"
313,171,Destrieux,"(113, 'R G_temporal_middle')"
314,172,Destrieux,"(114, 'R Lat_Fis-ant-Horizont')"
315,173,Destrieux,"(115, 'R Lat_Fis-ant-Vertical')"
316,174,Destrieux,"(116, 'R Lat_Fis-post')"
318,175,Destrieux,"(118, 'R Pole_occipital')"
319,176,Destrieux,"(119, 'R Pole_temporal')"
320,177,Destrieux,"(120, 'R S_calcarine')"
321,178,Destrieux,"(121, 'R S_central')"
322,179,Destrieux,"(122, 'R S_cingul-Marginalis')"
323,180,Destrieux,"(123, 'R S_circular_insula_ant')"
324,181,Destrieux,"(124, 'R S_circular_insula_inf')"
325,182,Destrieux,"(125, 'R S_circular_insula_sup')"
326,183,Destrieux,"(126, 'R S_collat_transv_ant')"
327,184,Destrieux,"(127, 'R S_collat_transv_post')"
328,185,Destrieux,"(128, 'R S_front_inf')"
329,186,Destrieux,"(129, 'R S_front_middle')"
330,187,Destrieux,"(130, 'R S_front_sup')"
331,188,Destrieux,"(131, 'R S_interm_prim-Jensen')"
332,189,Destrieux,"(132, 'R S_intrapariet_and_P_trans')"
333,190,Destrieux,"(133, 'R S_oc_middle_and_Lunatus')"
334,191,Destrieux,"(134, 'R S_oc_sup_and_transversal')"
335,192,Destrieux,"(135, 'R S_occipital_ant')"
336,193,Destrieux,"(136, 'R S_oc-temp_lat')"
337,194,Destrieux,"(137, 'R S_oc-temp_med_and_Lingual')"
338,195,Destrieux,"(138, 'R S_orbital_lateral')"
339,196,Destrieux,"(139, 'R S_orbital_med-olfact')"
340,197,Destrieux,"(140, 'R S_orbital-H_Shaped')"
341,198,Destrieux,"(141, 'R S_parieto_occipital')"
342,199,Destrieux,"(142, 'R S_pericallosal')"
343,200,Destrieux,"(143, 'R S_postcentral')"
344,201,Destrieux,"(144, 'R S_precentral-inf-part')"
345,202,Destrieux,"(145, 'R S_precentral-sup-part')"
346,203,Destrieux,"(146, 'R S_suborbital')"
347,204,Destrieux,"(147, 'R S_subparietal')"
348,205,Destrieux,"(148, 'R S_temporal_inf')"
349,206,Destrieux,"(149, 'R S_temporal_sup')"
350,207,Destrieux,"(150, 'R S_temporal_transverse')"
