label_id,source_atlas,region_name,voxel_count,volume_mm3
165,Destrieux,"(65, 'L S_orbital-H_Shaped')",333,2664
166,Destrieux,"(66, 'L S_parieto_occipital')",532,4256
167,Destrieux,"(67, 'L S_pericallosal')",426,3408
168,Destrieux,"(68, 'L S_postcentral')",739,5912
169,Destrieux,"(69, 'L S_precentral-inf-part')",434,3472
170,Destrieux,"(70, 'L S_precentral-sup-part')",404,3232
171,Destrieux,"(71, 'L S_suborbital')",245,1960
172,Destrieux,"(72, 'L S_subparietal')",306,2448
173,Destrieux,"(73, 'L S_temporal_inf')",238,1904
174,Destrieux,"(74, 'L S_temporal_sup')",1339,10712
175,Destrieux,"(75, 'L S_temporal_transverse')",108,864
176,Destrieux,"(76, 'R G_and_S_frontomargin')",435,3480
177,Destrieux,"(77, 'R G_and_S_occipital_inf')",584,4672
178,Destrieux,"(78, 'R G_and_S_paracentral')",732,5856
179,Destrieux,"(79, 'R G_and_S_subcentral')",617,4936
180,Destrieux,"(80, 'R G_and_S_transv_frontopol')",508,4064
181,Destrieux,"(81, 'R G_and_S_cingul-Ant')",976,7808
182,Destrieux,"(82, 'R G_and_S_cingul-Mid-Ant')",593,4744
183,Destrieux,"(83, 'R G_and_S_cingul-Mid-Post')",619,4952
184,Destrieux,"(84, 'R G_cingul-Post-dorsal')",397,3176
185,Destrieux,"(85, 'R G_cingul-Post-ventral')",204,1632
186,Destrieux,"(86, 'R G_cuneus')",633,5064
187,Destrieux,"(87, 'R G_front_inf-Opercular')",733,5864
188,Destrieux,"(88, 'R G_front_inf-Orbital')",116,928
189,Destrieux,"(89, 'R G_front_inf-Triangul')",436,3488
190,Destrieux,"(90, 'R G_front_middle')",1746,13968
191,Destrieux,"(91, 'R G_front_sup')",3455,27640
192,Destrieux,"(92, 'R G_Ins_lg_and_S_cent_ins')",291,2328
193,Destrieux,"(93, 'R G_insular_short')",381,3048
194,Destrieux,"(94, 'R G_occipital_middle')",866,6928
195,Destrieux,"(95, 'R G_occipital_sup')",696,5568
196,Destrieux,"(96, 'R G_oc-temp_lat-fusifor')",810,6480
197,Destrieux,"(97, 'R G_oc-temp_med-Lingual')",1063,8504
198,Destrieux,"(98, 'R G_oc-temp_med-Parahip')",874,6992
199,Destrieux,"(99, 'R G_orbital')",1554,12432
200,Destrieux,"(100, 'R G_pariet_inf-Angular')",970,7760
201,Destrieux,"(101, 'R G_pariet_inf-Supramar')",1263,10104
202,Destrieux,"(102, 'R G_parietal_sup')",931,7448
203,Destrieux,"(103, 'R G_postcentral')",1073,8584
204,Destrieux,"(104, 'R G_precentral')",1662,13296
205,Destrieux,"(105, 'R G_precuneus')",1154,9232
