# TianDes Limbic-Cortical Atlas Label File
# Format: ID: Region_Name [Source_Atlas]
# Tian subcortical regions: 1-54
# Destrieux cortical regions: 101-250

173: (73, 'L S_temporal_inf') [Destrieux]
174: (74, 'L S_temporal_sup') [Destrieux]
175: (75, 'L S_temporal_transverse') [Destrieux]
176: (76, 'R G_and_S_frontomargin') [Destrieux]
177: (77, 'R G_and_S_occipital_inf') [Destrieux]
178: (78, 'R G_and_S_paracentral') [Destrieux]
179: (79, 'R G_and_S_subcentral') [Destrieux]
180: (80, 'R G_and_S_transv_frontopol') [Destrieux]
181: (81, 'R G_and_S_cingul-Ant') [Destrieux]
182: (82, 'R G_and_S_cingul-Mid-Ant') [Destrieux]
183: (83, 'R G_and_S_cingul-Mid-Post') [Destrieux]
184: (84, 'R G_cingul-Post-dorsal') [Destrieux]
185: (85, 'R G_cingul-Post-ventral') [Destrieux]
186: (86, 'R G_cuneus') [Destrieux]
187: (87, 'R G_front_inf-Opercular') [Destrieux]
188: (88, 'R G_front_inf-Orbital') [Destrieux]
189: (89, 'R G_front_inf-Triangul') [Destrieux]
190: (90, 'R G_front_middle') [Destrieux]
191: (91, 'R G_front_sup') [Destrieux]
192: (92, 'R G_Ins_lg_and_S_cent_ins') [Destrieux]
193: (93, 'R G_insular_short') [Destrieux]
194: (94, 'R G_occipital_middle') [Destrieux]
195: (95, 'R G_occipital_sup') [Destrieux]
196: (96, 'R G_oc-temp_lat-fusifor') [Destrieux]
197: (97, 'R G_oc-temp_med-Lingual') [Destrieux]
198: (98, 'R G_oc-temp_med-Parahip') [Destrieux]
199: (99, 'R G_orbital') [Destrieux]
200: (100, 'R G_pariet_inf-Angular') [Destrieux]
201: (101, 'R G_pariet_inf-Supramar') [Destrieux]
202: (102, 'R G_parietal_sup') [Destrieux]
203: (103, 'R G_postcentral') [Destrieux]
204: (104, 'R G_precentral') [Destrieux]
205: (105, 'R G_precuneus') [Destrieux]
206: (106, 'R G_rectus') [Destrieux]
207: (107, 'R G_subcallosal') [Destrieux]
208: (108, 'R G_temp_sup-G_T_transv') [Destrieux]
209: (109, 'R G_temp_sup-Lateral') [Destrieux]
210: (110, 'R G_temp_sup-Plan_polar') [Destrieux]
211: (111, 'R G_temp_sup-Plan_tempo') [Destrieux]
212: (112, 'R G_temporal_inf') [Destrieux]
213: (113, 'R G_temporal_middle') [Destrieux]
214: (114, 'R Lat_Fis-ant-Horizont') [Destrieux]
215: (115, 'R Lat_Fis-ant-Vertical') [Destrieux]
216: (116, 'R Lat_Fis-post') [Destrieux]
218: (118, 'R Pole_occipital') [Destrieux]
219: (119, 'R Pole_temporal') [Destrieux]
220: (120, 'R S_calcarine') [Destrieux]
221: (121, 'R S_central') [Destrieux]
222: (122, 'R S_cingul-Marginalis') [Destrieux]
223: (123, 'R S_circular_insula_ant') [Destrieux]
224: (124, 'R S_circular_insula_inf') [Destrieux]
225: (125, 'R S_circular_insula_sup') [Destrieux]
226: (126, 'R S_collat_transv_ant') [Destrieux]
227: (127, 'R S_collat_transv_post') [Destrieux]
228: (128, 'R S_front_inf') [Destrieux]
229: (129, 'R S_front_middle') [Destrieux]
230: (130, 'R S_front_sup') [Destrieux]
231: (131, 'R S_interm_prim-Jensen') [Destrieux]
232: (132, 'R S_intrapariet_and_P_trans') [Destrieux]
233: (133, 'R S_oc_middle_and_Lunatus') [Destrieux]
234: (134, 'R S_oc_sup_and_transversal') [Destrieux]
235: (135, 'R S_occipital_ant') [Destrieux]
236: (136, 'R S_oc-temp_lat') [Destrieux]
237: (137, 'R S_oc-temp_med_and_Lingual') [Destrieux]
238: (138, 'R S_orbital_lateral') [Destrieux]
239: (139, 'R S_orbital_med-olfact') [Destrieux]
240: (140, 'R S_orbital-H_Shaped') [Destrieux]
241: (141, 'R S_parieto_occipital') [Destrieux]
242: (142, 'R S_pericallosal') [Destrieux]
243: (143, 'R S_postcentral') [Destrieux]
244: (144, 'R S_precentral-inf-part') [Destrieux]
245: (145, 'R S_precentral-sup-part') [Destrieux]
246: (146, 'R S_suborbital') [Destrieux]
247: (147, 'R S_subparietal') [Destrieux]
248: (148, 'R S_temporal_inf') [Destrieux]
249: (149, 'R S_temporal_sup') [Destrieux]
250: (150, 'R S_temporal_transverse') [Destrieux]
