index,region_name,source_atlas
141,"(83, 'R G_and_S_cingul-Mid-Post')",Destrieux
142,"(84, 'R G_cingul-Post-dorsal')",Destrieux
143,"(85, 'R G_cingul-Post-ventral')",Destrieux
144,"(86, 'R G_cuneus')",Destrieux
145,"(87, 'R G_front_inf-Opercular')",Destrieux
146,"(88, 'R G_front_inf-Orbital')",Destrieux
147,"(89, 'R G_front_inf-Triangul')",Destrieux
148,"(90, 'R G_front_middle')",Destrieux
149,"(91, 'R G_front_sup')",Destrieux
150,"(92, 'R G_Ins_lg_and_S_cent_ins')",Destrieux
151,"(93, 'R G_insular_short')",Destrieux
152,"(94, 'R G_occipital_middle')",Destrieux
153,"(95, 'R G_occipital_sup')",Destrieux
154,"(96, 'R G_oc-temp_lat-fusifor')",Destrieux
155,"(97, 'R G_oc-temp_med-Lingual')",Destrieux
156,"(98, 'R G_oc-temp_med-Parahip')",Destrieux
157,"(99, 'R G_orbital')",Destrieux
158,"(100, 'R G_pariet_inf-Angular')",Destrieux
159,"(101, 'R G_pariet_inf-Supramar')",Destrieux
160,"(102, 'R G_parietal_sup')",Destrieux
161,"(103, 'R G_postcentral')",Destrieux
162,"(104, 'R G_precentral')",Destrieux
163,"(105, 'R G_precuneus')",Destrieux
164,"(106, 'R G_rectus')",Destrieux
165,"(107, 'R G_subcallosal')",Destrieux
166,"(108, 'R G_temp_sup-G_T_transv')",Destrieux
167,"(109, 'R G_temp_sup-Lateral')",Destrieux
168,"(110, 'R G_temp_sup-Plan_polar')",Destrieux
169,"(111, 'R G_temp_sup-Plan_tempo')",Destrieux
170,"(112, 'R G_temporal_inf')",Destrieux
171,"(113, 'R G_temporal_middle')",Destrieux
172,"(114, 'R Lat_Fis-ant-Horizont')",Destrieux
173,"(115, 'R Lat_Fis-ant-Vertical')",Destrieux
174,"(116, 'R Lat_Fis-post')",Destrieux
175,"(118, 'R Pole_occipital')",Destrieux
176,"(119, 'R Pole_temporal')",Destrieux
177,"(120, 'R S_calcarine')",Destrieux
178,"(121, 'R S_central')",Destrieux
179,"(122, 'R S_cingul-Marginalis')",Destrieux
180,"(123, 'R S_circular_insula_ant')",Destrieux
181,"(124, 'R S_circular_insula_inf')",Destrieux
182,"(125, 'R S_circular_insula_sup')",Destrieux
183,"(126, 'R S_collat_transv_ant')",Destrieux
184,"(127, 'R S_collat_transv_post')",Destrieux
185,"(128, 'R S_front_inf')",Destrieux
