index,region_name,source_atlas,mni_x,mni_y,mni_z,volume_voxels,volume_mm3
83,"(24, 'L G_orbital')",Destrieux,-27.9,33.3,-16.8,1312,10496
84,"(25, 'L G_pariet_inf-Angular')",Destrieux,-42.9,-68.1,37.6,1065,8520
85,"(26, 'L G_pariet_inf-Supramar')",Destrieux,-55.9,-37.8,31.8,1218,9744
86,"(27, 'L G_parietal_sup')",Destrieux,-21.4,-61.6,58.8,1168,9344
87,"(28, 'L G_postcentral')",Destrieux,-44.6,-25.8,54.7,1138,9104
88,"(29, 'L G_precentral')",Destrieux,-42.8,-9.9,51.2,1636,13088
89,"(30, 'L G_precuneus')",Destrieux,-6.1,-58.7,41.7,1097,8776
90,"(31, 'L G_rectus')",Destrieux,-5.1,37.4,-19.1,673,5384
91,"(32, 'L G_subcallosal')",Destrieux,-4.1,13.8,-9.1,82,656
92,"(33, 'L G_temp_sup-G_T_transv')",Destrieux,-47.5,-20.4,7.1,296,2368
93,"(34, 'L G_temp_sup-Lateral')",Destrieux,-58.2,-12.7,-4.9,1383,11064
94,"(35, 'L G_temp_sup-Plan_polar')",Destrieux,-40.5,3.1,-19.6,325,2600
95,"(36, 'L G_temp_sup-Plan_tempo')",Destrieux,-57.2,-38.8,17.5,427,3416
96,"(37, 'L G_temporal_inf')",Destrieux,-51.5,-35.4,-25.6,1244,9952
97,"(38, 'L G_temporal_middle')",Destrieux,-59.9,-31.5,-12.2,1460,11680
98,"(39, 'L Lat_Fis-ant-Horizont')",Destrieux,-37.9,30.7,-1.6,70,560
99,"(40, 'L Lat_Fis-ant-Vertical')",Destrieux,-43.3,20.5,8.1,111,888
100,"(41, 'L Lat_Fis-post')",Destrieux,-40.7,-34.7,17.7,389,3112
101,"(43, 'L Pole_occipital')",Destrieux,-18.3,-99.4,-2.7,788,6304
102,"(44, 'L Pole_temporal')",Destrieux,-34.4,6.0,-36.9,940,7520
103,"(45, 'L S_calcarine')",Destrieux,-16.3,-68.1,5.5,677,5416
104,"(46, 'L S_central')",Destrieux,-36.3,-21.4,46.1,1070,8560
105,"(47, 'L S_cingul-Marginalis')",Destrieux,-13.8,-37.9,47.9,396,3168
106,"(48, 'L S_circular_insula_ant')",Destrieux,-29.9,20.7,-8.5,197,1576
107,"(49, 'L S_circular_insula_inf')",Destrieux,-40.9,-13.5,-6.6,652,5216
108,"(50, 'L S_circular_insula_sup')",Destrieux,-35.7,5.3,11.4,602,4816
109,"(51, 'L S_collat_transv_ant')",Destrieux,-40.7,-22.9,-25.7,270,2160
110,"(52, 'L S_collat_transv_post')",Destrieux,-24.8,-79.6,-7.2,69,552
111,"(53, 'L S_front_inf')",Destrieux,-39.4,22.2,22.0,496,3968
112,"(54, 'L S_front_middle')",Destrieux,-27.1,42.0,20.7,349,2792
113,"(55, 'L S_front_sup')",Destrieux,-23.9,18.1,44.8,711,5688
114,"(56, 'L S_interm_prim-Jensen')",Destrieux,-50.6,-53.7,31.5,53,424
115,"(57, 'L S_intrapariet_and_P_trans')",Destrieux,-29.1,-61.0,39.9,780,6240
116,"(58, 'L S_oc_middle_and_Lunatus')",Destrieux,-30.8,-87.7,4.4,211,1688
117,"(59, 'L S_oc_sup_and_transversal')",Destrieux,-27.3,-81.3,19.8,299,2392
118,"(60, 'L S_occipital_ant')",Destrieux,-43.1,-69.9,1.5,149,1192
119,"(61, 'L S_oc-temp_lat')",Destrieux,-43.1,-52.5,-13.4,199,1592
120,"(62, 'L S_oc-temp_med_and_Lingual')",Destrieux,-28.9,-50.5,-10.4,536,4288
121,"(63, 'L S_orbital_lateral')",Destrieux,-40.7,40.5,-1.8,86,688
122,"(64, 'L S_orbital_med-olfact')",Destrieux,-12.9,22.8,-17.5,177,1416
